event_id,customer_id,event_type,event_time,session_id,page_url
1,1480,add_to_cart,2024-02-28 21:56:03,80a6af91-ecb1-47a8-98ea-b7cea7fc5376,posts/categories
2,738,logout,2024-01-25 21:16:22,af40612c-2976-49eb-936b-f97e99c256ab,category/tags
3,1291,purchase,2024-03-25 02:33:52,caec5f07-e0df-4bbe-bfef-5e362b6e739e,tag/tags
4,492,logout,2024-02-22 04:09:05,c8527f51-bb09-44aa-a992-061c24556503,app/app
5,1570,page_view,2024-02-11 18:10:41,3b6b2d50-4105-4d3d-8d02-89238d506420,explore
6,1007,add_to_cart,2024-03-21 03:27:29,acef2184-8f43-43e6-9bb8-69b95abede5b,category/tags/blog
7,1103,search,2024-03-07 07:46:13,528dcc45-12bc-47a0-b943-949aa2ae8681,tags
8,901,search,2024-03-03 01:19:49,456386b0-b2fd-40fe-8b8c-e1b7ba6875d8,main
9,1198,add_to_cart,2024-01-05 11:54:32,744cac3b-dc15-4736-ad5b-109f6b6c2619,posts/explore/wp-content
10,1527,page_view,2024-02-17 06:27:03,fe823502-9289-4016-9306-8e798c5568a9,search/app/app
11,97,click_ad,2024-02-28 02:31:58,fe2b1bf6-03d0-4a42-a546-7018848231bc,search/blog
12,886,page_view,2024-01-15 07:52:08,4a1abdd3-9d68-431c-b2d8-9d33cc2a9f16,tags
13,1131,click_ad,2024-03-08 06:59:34,2f5b7147-d0e5-4b3b-8a3e-00273dfccace,explore
14,1178,purchase,2024-02-29 05:37:23,69366079-e130-42e8-835d-76bc0f6e0c19,app/app/search
15,388,purchase,2024-01-22 15:18:49,a37f2029-48b0-4834-91b4-4b243f5ac959,posts
16,646,add_to_cart,2024-02-22 04:58:25,3852f980-2996-4bd1-b6f0-64df0ae18ff6,tags/app/category
17,1955,search,2024-01-19 06:58:36,8e273345-d7d2-4304-b90f-a96809c79282,wp-content/tags
18,218,add_to_cart,2024-01-24 16:20:12,f1064522-a403-40d7-8641-b9721a1bb0c4,categories
19,1191,page_view,2024-03-07 04:29:04,846c34e3-1922-4a57-901d-b77ee12a2374,category/search
20,1497,add_to_cart,2024-01-01 05:32:11,03b70e92-76ee-4e3b-98ed-a8837b3bd9a5,explore/main/category
21,1788,page_view,2024-02-26 20:45:17,9e8d9c7e-c27e-4da0-8e83-4e34d72342dc,app
22,525,page_view,2024-01-24 13:40:35,fd10de08-4175-40e5-b6ae-e363bed90960,explore/app
23,1791,logout,2024-02-06 13:20:34,e9653feb-3aa4-4a1a-9361-302c5b89c7de,search/blog
24,830,search,2024-02-08 02:35:25,21b24f69-e601-4ea3-8f13-c0dae85e2add,tag/blog
25,140,click_ad,2024-03-27 22:56:46,aa14e962-05c7-4d10-a30f-79070e499df0,wp-content
26,450,purchase,2024-02-19 14:13:22,8e521263-8bdf-482e-998c-fd24defa7b42,blog/posts
27,714,add_to_cart,2024-03-16 07:05:32,6f53639c-14d1-42ca-ae9f-41f4e768bf32,categories/wp-content
28,254,purchase,2024-03-05 22:03:22,ff381877-9acd-4ddd-a779-f226351e9141,posts
29,1940,purchase,2024-03-04 19:04:52,7218fd40-5cd1-46d6-bc1e-3c459cfd41b3,categories/list/main
30,1887,search,2024-03-07 06:14:47,6806b24b-b587-4a8f-b3b3-c7012f36b535,tag
31,264,click_ad,2024-01-12 03:35:18,33b73f76-58ee-4217-afe3-430bd5f05a5f,wp-content/main
32,1420,purchase,2024-03-04 12:08:56,71a563ee-3e91-4718-b449-c04e782711b5,blog
33,29,purchase,2024-01-15 08:28:17,f5b8655d-cdac-4f60-b2af-7a6298ee0b5d,posts/app
34,1308,click_ad,2024-02-20 15:38:31,a27269fc-831a-452f-b40f-973fbdaaa091,search/blog
35,921,click_ad,2024-03-31 18:37:31,f437e086-f1fd-4d65-865f-a43bf76f131b,main/wp-content/tags
36,691,search,2024-02-22 21:12:40,71d5a497-6d19-4abb-bc23-cc5d5e1a8bef,blog/category
37,1621,page_view,2024-03-16 09:45:27,cc4d6d9c-284a-47bd-91a0-de5c804a6853,tags/list/tags
38,336,logout,2024-03-11 18:27:13,03b3553b-0c46-44f9-a301-6d8b0018f874,blog
39,394,add_to_cart,2024-02-08 09:25:07,97697614-a49c-4b3a-ae29-98d0272bfa7d,tags
40,135,logout,2024-01-27 14:05:18,e65a0a3e-7ee5-473e-b4ed-97a9246dd23c,posts/tag
41,1912,page_view,2024-03-30 18:47:07,fbcf2800-1964-4669-97ba-e3e24bd136b5,search/wp-content/categories
42,462,purchase,2024-02-10 00:09:19,e70bfb04-c44b-4330-ab71-f2ef31c2d3cb,app
43,752,logout,2024-03-11 18:34:03,5b98220e-6cbf-4f15-a614-68c8e1f3aa62,explore/tags
44,1434,page_view,2024-01-20 19:51:35,b678d152-10bc-4f5f-a8ab-b3d551e00e1c,category/categories
45,497,add_to_cart,2024-01-07 02:02:01,afe33c55-692e-49ec-acfc-ae3135f60c6d,tag/main/blog
46,885,add_to_cart,2024-02-03 19:50:50,1ca77df4-1207-4659-883b-4fd29a8fdf6f,categories/posts/category
47,1378,click_ad,2024-02-12 09:53:52,1bc77159-16de-4f4f-94bc-e708298d9228,category/wp-content
48,1329,page_view,2024-03-28 07:45:25,1a8e40a0-f33b-472c-bc3c-8c184dff8c2b,blog
49,24,search,2024-03-03 16:00:41,d0c28397-885a-45a9-a446-4b2023eae813,tag/app
50,424,logout,2024-03-10 00:39:29,12ecc02e-f94d-4175-87fd-dfb2602e6ee4,main
51,459,logout,2024-03-11 11:23:03,189aaee1-6861-46d8-9e1a-557293157d49,explore/list
52,1543,search,2024-02-14 04:02:16,df607ba9-01a6-40d6-a354-d554e4f377d6,tag/blog
53,1113,page_view,2024-02-15 17:40:14,6f1fc186-4215-4ef0-bb2b-638f1687696a,posts/app
54,1053,search,2024-01-12 03:54:17,d262d057-1ea8-4613-b36a-7a0959ac0d70,explore/blog/explore
55,1722,add_to_cart,2024-02-26 10:04:41,a5720d19-6d3f-4950-966c-db411b006374,wp-content
56,1988,logout,2024-02-02 22:53:06,3374c032-d838-4797-a454-08bd6a7a1c28,explore/wp-content
57,97,search,2024-01-07 11:00:43,4ae6e9c4-897f-4db1-809d-30d94f94a02c,posts/posts/posts
58,411,logout,2024-01-29 04:48:38,53fbf75d-68f6-4fd0-a195-518af576f122,tag/tag
59,1325,search,2024-01-16 06:13:56,bd878279-dca3-45eb-bde9-766672c55315,category/tags
60,33,purchase,2024-02-29 04:00:50,675de85c-f7ee-4daa-96a7-4ba689a6a0d5,category/category/tags
61,105,click_ad,2024-01-09 12:56:56,9ab54f29-246f-4cc8-a786-87ef061d01d6,categories/list/wp-content
62,486,logout,2024-02-14 05:40:38,f299f006-6c6f-417d-8564-940db666cf66,list
63,1808,page_view,2024-02-05 05:43:51,9d905a86-896a-4e62-84d0-f215a826d27d,list
64,776,click_ad,2024-02-07 19:05:55,152c3169-b204-4c29-b917-85bb58c66fc1,tag/category/category
65,52,add_to_cart,2024-01-10 07:53:01,d62a7eb7-8f71-407c-a909-d08f066ed3e2,posts/category/list
66,1406,page_view,2024-02-18 00:46:26,39c07f74-7437-4cca-98a5-fa6881920051,explore/search
67,621,search,2024-03-05 13:56:24,8a382ffe-a371-457a-ac9c-a6f7fa7c8719,blog
68,647,click_ad,2024-03-30 19:49:40,29d2ec53-c6ef-4a3e-ba5d-334767c75446,wp-content/blog
69,674,click_ad,2024-02-20 08:23:49,0ed9ca79-ddc4-4c84-839b-d77cc157d385,explore/main/search
70,443,add_to_cart,2024-03-06 00:02:46,bfccb858-a0d8-4a81-b88d-e5b37c6e6583,category
71,1433,purchase,2024-02-05 01:01:52,807a31a1-3f45-48b1-a5a6-c9712b560976,tag
72,757,click_ad,2024-02-27 21:36:04,9dfc4f9e-9e32-4765-b210-d8ebecdc8ddd,main
73,1655,page_view,2024-01-30 18:25:06,8b35f9a7-8927-4a68-bd8e-40510aa7c240,posts/explore/main
74,112,purchase,2024-01-27 10:59:20,08d615eb-4f82-44e3-a928-08a751b9ce38,explore
75,933,purchase,2024-01-16 23:40:46,331f8b12-1884-432e-966d-534943dd26ca,categories
76,625,add_to_cart,2024-01-14 03:36:05,7eb83db5-213a-4fe4-b19f-1e80b5ea9cf6,list/tags/list
77,116,purchase,2024-01-23 10:43:27,efc9ba3d-9041-4b95-bc7d-2c89bda7ee42,tag
78,1873,search,2024-03-08 14:13:23,b1de02b2-ec1e-4211-b31d-000e257c618c,search/tag
