event_id,customer_id,event_type,event_time,session_id,page_url
1,59,page_view,2024-02-26 01:51:06,1cb629c8-30e6-4db2-9018-6e05994889a1,categories
2,1613,page_view,2024-01-08 21:31:50,7ca30ff2-1910-488a-91be-d5d79b441b61,blog
3,1348,purchase,2024-02-14 20:32:07,63773f05-6cf9-4a57-b178-853317f3b99b,tags/list
4,699,click_ad,2024-01-19 03:48:34,64bc1c15-6556-4d95-bd71-f53c5c14fd33,categories/tag/tag
5,442,click_ad,2024-03-11 04:35:02,a8f3a73b-5d67-4c98-a770-7496a461b400,posts/tags/posts
6,517,add_to_cart,2024-02-16 11:22:45,01e8f45e-a9f2-4d06-8ed1-a3d14af2b577,wp-content/main/blog
7,566,click_ad,2024-01-18 08:40:54,16af8305-4c1b-4086-b904-ed253054f136,search/wp-content
8,24,logout,2024-02-13 00:33:15,a2a9b82c-6a3a-4215-8cd8-89ef92e20824,category/blog/search
9,686,page_view,2024-01-22 13:48:29,eb38f467-f349-4a3d-841f-7f4893c8e9bb,search/posts
10,542,click_ad,2024-02-23 03:28:49,a330d941-a145-4eb5-bf75-4967f372f9c7,wp-content/search/tags
11,923,logout,2024-03-13 23:51:37,f6081f95-42b5-4a87-9ccc-ea9fea7b974a,explore
12,1135,purchase,2024-02-01 09:07:46,af9cdda0-78d7-4831-85fb-aa1795bcdcc1,tag/category/categories
13,1895,click_ad,2024-01-30 09:17:24,0f8a28fd-d346-4f67-84a4-f582437d562a,app
14,789,page_view,2024-01-19 15:53:42,0bca3970-2b4e-4e45-9f3a-1fee9da29263,list
15,500,purchase,2024-03-26 03:48:49,86612377-4b0d-4f84-b402-cb76e06076d3,main/app/search
16,1167,add_to_cart,2024-01-06 22:33:20,8a038da9-aa04-46dc-9c4a-28bb6cfb1a42,categories
17,986,search,2024-01-06 00:43:12,fa95635c-f5d0-426c-b5ec-3c46be697c95,posts/list
18,608,logout,2024-03-17 10:12:35,b842c9e0-6dbb-444d-ac63-d20ba4e20b93,explore
19,1134,logout,2024-03-26 02:18:23,a8f4c841-4260-4ef8-a278-ff4c5a4f2548,list
